close;high;low;open;time;volume
1.09954;1.09996;1.09954;1.09977;1723576200000;2379.99
1.09966;1.09968;1.09939;1.09954;1723576800000;2177.89
1.09956;1.09966;1.09952;1.09966;1723577400000;1970.22
1.09977;1.09979;1.09947;1.09955;1723578000000;1857.25
1.09959;1.09981;1.0995;1.09977;1723578600000;4008.68
1.09949;1.09963;1.09949;1.0996;1723579200000;1726.39
1.09966;1.09976;1.09944;1.0995;1723579800000;1200.58
1.09984;1.09989;1.09966;1.09967;1723580400000;702.95
1.09975;1.09986;1.09964;1.09984;1723581000000;975.7
1.09967;1.09979;1.09966;1.09974;1723581600000;1110.36
1.09916;1.09969;1.09916;1.09968;1723582200000;1634.13
1.09881;1.09941;1.09754;1.09916;1723582800000;382.52
1.09901;1.0993;1.09873;1.0988;1723583400000;200.7
1.09911;1.09922;1.09899;1.099;1723584000000;111.15
1.09922;1.09926;1.09897;1.09911;1723584600000;833.4
1.09915;1.09923;1.0991;1.09921;1723585200000;494.1
1.09918;1.09933;1.09907;1.09915;1723585800000;732.45
1.0995;1.09958;1.09908;1.09918;1723586400000;984.12
1.09929;1.09954;1.09923;1.09951;1723587000000;570.69
1.09942;1.09944;1.09924;1.0993;1723587600000;249.87
1.09972;1.09973;1.0994;1.09943;1723588200000;375.72
1.09966;1.09972;1.09963;1.09971;1723588800000;180.0
1.09965;1.09967;1.09964;1.09965;1723589400000;105.3
1.09977;1.09984;1.09965;1.09966;1723590000000;839.52
1.09974;1.0998;1.09969;1.09977;1723590600000;671.61
1.09964;1.09978;1.0996;1.09974;1723591200000;466.95
1.09963;1.0997;1.09958;1.09963;1723591800000;697.62
1.09958;1.09966;1.09957;1.09962;1723592400000;1053.41
1.09959;1.09966;1.09943;1.09958;1723593000000;1120.12
1.09954;1.09971;1.0994;1.09958;1723593600000;1877.74
1.09959;1.09964;1.0994;1.09954;1723594200000;1419.46
1.09949;1.09962;1.09945;1.09957;1723594800000;1315.37
1.09932;1.09952;1.09929;1.09948;1723595400000;1071.33
1.09944;1.09954;1.09922;1.09931;1723596000000;809.68
1.09919;1.09961;1.09916;1.09943;1723596600000;1210.26
1.0991;1.09918;1.09904;1.09918;1723597200000;1403.88
1.09948;1.09951;1.09908;1.09911;1723597800000;1877.42
1.09963;1.09965;1.09939;1.09947;1723598400000;1549.06
1.09936;1.09963;1.09928;1.09962;1723599000000;1377.16
1.09931;1.09956;1.09928;1.09935;1723599600000;944.54
1.09918;1.09931;1.09915;1.09931;1723600200000;1207.26
1.09921;1.09931;1.09903;1.09916;1723600800000;3420.99
1.09909;1.09931;1.09904;1.09921;1723601400000;2199.35
1.09915;1.09919;1.09902;1.0991;1723602000000;677.46
1.09922;1.0994;1.09915;1.09916;1723602600000;904.58
1.0992;1.09927;1.09911;1.09921;1723603200000;1022.15
1.09914;1.09933;1.09912;1.0992;1723603800000;756.86
1.09907;1.09916;1.099;1.09915;1723604400000;1846.71
1.0991;1.09914;1.09899;1.09906;1723605000000;1121.8
1.09899;1.0991;1.09896;1.09909;1723605600000;667.35
1.09898;1.09908;1.09893;1.09898;1723606200000;1671.12
1.09897;1.09906;1.09889;1.09897;1723606800000;707.96
1.099;1.09909;1.09887;1.09897;1723607400000;740.18
1.09905;1.09906;1.09894;1.099;1723608000000;906.21
1.09926;1.09926;1.099;1.09907;1723608600000;549.64
1.09919;1.09926;1.09915;1.09926;1723609200000;576.09
1.09919;1.09921;1.09913;1.09919;1723609800000;533.45
1.09926;1.09931;1.09914;1.09919;1723610400000;202.95
1.09928;1.0993;1.09915;1.09925;1723611000000;796.05
1.0994;1.09942;1.09928;1.09928;1723611600000;813.12
1.09946;1.09948;1.09934;1.0994;1723612200000;1123.74
1.09927;1.09946;1.09916;1.09946;1723612800000;1002.35
1.09909;1.09927;1.09903;1.09927;1723613400000;979.31
1.09909;1.09915;1.09904;1.0991;1723614000000;670.34
1.09907;1.0991;1.09895;1.09909;1723614600000;1126.94
1.09878;1.09913;1.09863;1.09908;1723615200000;3742.15
1.09888;1.09913;1.09871;1.09877;1723615800000;1619.29
1.09915;1.09918;1.09884;1.09889;1723616400000;1301.02
1.09956;1.09962;1.09892;1.09915;1723617000000;1590.66
1.09979;1.09984;1.09934;1.09956;1723617600000;2082.44
1.09999;1.10018;1.09974;1.09979;1723618200000;1272.82
1.09985;1.1;1.09961;1.09999;1723618800000;1744.97
1.10041;1.10043;1.09978;1.09984;1723619400000;1663.98
1.10012;1.10049;1.10005;1.10039;1723620000000;1458.96
1.10051;1.10063;1.10006;1.1001;1723620600000;1708.3
1.10061;1.10066;1.10034;1.10051;1723621200000;2052.48
1.10057;1.10079;1.10045;1.10062;1723621800000;2078.33
1.1006;1.10078;1.10025;1.10056;1723622400000;2107.73
1.10072;1.10096;1.10057;1.10059;1723623000000;1225.2
1.1008;1.10103;1.10065;1.10074;1723623600000;1866.33
1.10095;1.101;1.10074;1.1008;1723624200000;2002.22
1.10168;1.1017;1.10089;1.10096;1723624800000;1513.73
1.10192;1.10199;1.1015;1.10167;1723625400000;1353.44
1.10203;1.10229;1.10154;1.10192;1723626000000;2376.96
1.10206;1.10222;1.10199;1.10204;1723626600000;1533.85
1.10253;1.10263;1.10207;1.10207;1723627200000;1339.59
1.10267;1.10274;1.10246;1.10252;1723627800000;918.89
1.1028;1.10286;1.10268;1.10268;1723628400000;410.47
1.10256;1.10285;1.10251;1.10279;1723629000000;1409.19
1.10204;1.10256;1.10201;1.10256;1723629600000;2065.85
1.102;1.10211;1.10199;1.10205;1723630200000;1258.38
1.1022;1.10238;1.10199;1.102;1723630800000;1413.66
1.10206;1.10226;1.10194;1.10218;1723631400000;1474.62
1.10211;1.10218;1.1018;1.10205;1723632000000;1171.32
1.10219;1.10246;1.10199;1.10208;1723632600000;1254.44
1.10222;1.10233;1.10199;1.1022;1723633200000;1819.89
1.10217;1.1024;1.10214;1.10222;1723633800000;1557.45
1.10221;1.10232;1.10215;1.10218;1723634400000;962.82
1.10236;1.10251;1.10221;1.10221;1723635000000;954.72
1.10222;1.10242;1.10218;1.10238;1723635600000;1661.73
1.10225;1.10235;1.10205;1.10221;1723636200000;2561.63
1.10194;1.10251;1.10189;1.10227;1723636800000;2250.85
1.10192;1.10218;1.10174;1.10195;1723637400000;2087.96
1.10228;1.10278;1.10194;1.10194;1723638000000;3742.96
1.10147;1.10354;1.10039;1.10225;1723638600000;7953.01
1.1018;1.10212;1.10119;1.10146;1723639200000;7992.56
1.10168;1.1023;1.10131;1.1018;1723639800000;7018.01
1.10383;1.10383;1.10162;1.10168;1723640400000;4500.48
1.10265;1.1042;1.10259;1.10383;1723641000000;5974.92
1.1022;1.10272;1.10219;1.10264;1723641600000;3578.31
1.10361;1.10361;1.10216;1.10223;1723642200000;2865.28
1.10417;1.10424;1.10357;1.1036;1723642800000;1897.18
1.10376;1.10421;1.10345;1.10418;1723643400000;4100.92
1.10346;1.10384;1.1032;1.10377;1723644000000;3832.58
1.10316;1.10346;1.10271;1.10345;1723644600000;3765.54
1.10393;1.10394;1.10313;1.10317;1723645200000;2156.34
1.10463;1.10465;1.10395;1.10395;1723645800000;3677.63
1.10417;1.10473;1.10407;1.10465;1723646400000;2817.65
1.10355;1.1043;1.10342;1.10418;1723647000000;2312.75
1.10293;1.10361;1.10289;1.10356;1723647600000;2442.56
1.10269;1.10302;1.10253;1.10293;1723648200000;2020.14
1.1023;1.1029;1.10229;1.1027;1723648800000;2053.81
1.10235;1.10237;1.10213;1.1023;1723649400000;2558.81
1.10234;1.10253;1.10212;1.10235;1723650000000;1391.07
1.10231;1.10249;1.10224;1.10234;1723650600000;1085.38
1.10193;1.10241;1.10176;1.10232;1723651200000;1258.54
1.10181;1.10215;1.10179;1.10194;1723651800000;1585.14
1.10174;1.10191;1.10162;1.1018;1723652400000;1250.13
1.10172;1.10202;1.10169;1.10175;1723653000000;1019.7
1.10165;1.102;1.10161;1.10172;1723653600000;1070.32
